"#"	"latitude"	"longitude"	"hdop"	"plan#"
45	52.139439	11.642513	1.678512	27	35	0	
46	52.139439	11.642659	1.020625	27	36	0	
47	52.139439	11.642805	3.326019	27	37	0	
48	52.139349	11.642805	4.537862	28	37	0	
49	52.139349	11.642659	1.162986	28	36	0	
50	52.139259	11.642659	1.739579	29	36	0	
51	52.139259	11.642805	1.664769	29	37	0	
52	52.139259	11.642951	1.640608	29	38	0	
53	52.139259	11.643097	1.527108	29	39	0	
54	52.139259	11.643243	1.087236	29	40	0	
55	52.139349	11.643243	1.501380	28	40	0	
56	52.139439	11.643243	1.168526	27	40	0	
57	52.139529	11.643243	1.390299	26	40	0	
58	52.139529	11.643389	0.718732	26	41	0	
59	52.139529	11.643535	0.700794	26	42	0	
60	52.139619	11.643535	0.767501	25	42	0	
61	52.139619	11.643681	0.541806	25	43	0	
62	52.139709	11.643681	0.598291	24	43	0	
63	52.139709	11.643827	0.558039	24	44	6	0.000054	52.139734	11.643869	1.100000	0.541961	
64	52.139709	11.643973	0.558039	24	45	10	0.000092	52.139799	11.643969	1.100000	0.541961	
65	52.139709	11.644119	0.521882	24	46	0	
66	52.139798	11.644119	0.554077	23	46	24	0.000066	52.139821	11.644078	1.100000	0.545923	
67	52.139798	11.644265	0.554077	23	47	10	0.000053	52.139824	11.644276	1.200000	0.645923	
68	52.139798	11.644411	0.521882	23	48	16	0.000039	52.139827	11.644414	1.600000	1.078118	
69	52.139798	11.644557	0.505096	23	49	10	0.000060	52.139842	11.644562	1.600000	1.094904	
70	52.139798	11.644703	0.505096	23	50	18	0.000055	52.139805	11.644737	1.600000	1.094904	
71	52.139888	11.644703	0.505096	22	50	6	0.000048	52.139859	11.644665	1.600000	1.094904	
72	52.139888	11.644850	0.541806	22	51	14	0.000105	52.139787	11.644848	1.600000	1.058194	
73	52.139888	11.644996	0.541806	22	52	16	0.000113	52.139786	11.644988	1.600000	1.058194	
74	52.139888	11.645142	0.505096	22	53	6	0.000112	52.139779	11.645126	1.600000	1.094904	
